Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,PRISHTINË,609.21,549.72
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Sindikatat,PRISHTINË,300.0,419.42
Aktivitetet financiare dhe te sigurimit,Individual,FUSHË KOSOVË,300.0,290.43
Industria perpunuese,Ortakëria e përgj.,GJAKOVË,664.39,427.13
"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRISHTINË,403.86,334.9
Mungon aktiviteti,OJQ,ZVEÇAN,800.0,397.99
"Artet, Argetimi dhe rekreacioni",OJQ,FERIZAJ,406.5,406.48
Informimi dhe komunikimi,Individual,PRISHTINË,535.72,345.71
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,187.5,178.13
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PRIZREN,444.17,246.08
Aktivitetet e tjera sherbyese,OJQ,LIPJAN,231.43,302.88
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,260.44,320.0
Informimi dhe komunikimi,Ndërmarrje shoq.,PRISHTINË,435.81,453.33
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,305.86,282.9
Industria perpunuese,Individual,MALISHEVË,246.5,200.55
Aktivitetet e tjera sherbyese,OJQ,GRAÇANICË,503.24,519.61
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,633.26,558.85
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,ISTOG,357.65,273.92
Informimi dhe komunikimi,SH.P.K.,ISTOG,202.0,250.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,RAHOVEC,336.99,239.5
"Artet, Argetimi dhe rekreacioni",OJQ,GJAKOVË,145.28,123.48
Informimi dhe komunikimi,SH.P.K.,MITROVICË,655.93,539.01
Industria perpunuese,SH.P.K.,KLLOKOT,441.89,324.5
Akomodimi dhe sherbimi ushqimor,Individual,DRAGASH,188.92,180.0
Aktivitetet e tjera sherbyese,OJQ,LIPJAN,361.92,263.88
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PRISHTINË,482.15,412.93
Mungon aktiviteti,OJQ,PRISHTINË,559.45,503.73
Arsimi,Individual,PODUJEVË,181.87,181.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PEJË,276.89,261.79
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,MITROVICË,371.34,358.05
Sherbimet administrative dhe mbeshtetese,SH.P.K.,MALISHEVË,287.97,283.22
Ndertimtaria,Ortakëria e përgj.,GJAKOVË,324.44,170.0
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,PRISHTINË,529.29,595.55
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PODUJEVË,339.71,233.61
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,RANILLUG,250.0,250.0
Arsimi,SH.P.K.,GLLOGOC,140.0,164.44
Mungon aktiviteti,OJQ,ISTOG,187.15,480.0
Informimi dhe komunikimi,Individual,GJAKOVË,246.0,238.04
Akomodimi dhe sherbimi ushqimor,Individual,HANI I ELEZIT,172.63,220.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PODUJEVË,269.54,253.54
Industria nxjerrese,Individual,FERIZAJ,283.33,170.0
Industria nxjerrese,SH.P.K.,RAHOVEC,324.64,304.55
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MALISHEVË,321.14,253.85
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,DEÇAN,254.73,429.33
Ndertimtaria,SH.P.K.,SHTIME,321.57,230.0
Transporti dhe magazinimi,Ndërmarrje shoq.,PRIZREN,583.22,412.72
Ndertimtaria,SH.P.K.,VUSHTRRI,375.14,298.43
Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,447.79,337.38
Aktivitetet e tjera sherbyese, Bashkësi Fetare,FERIZAJ,433.6,193.6
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PEJË,292.7,361.38
Arsimi,SH.P.K.,VUSHTRRI,160.0,176.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,SHTIME,215.71,225.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,RAHOVEC,305.27,384.32
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,PRIZREN,442.56,200.0
Transporti dhe magazinimi,SH.P.K.,MITROVICË,256.56,207.9
Arsimi,SH.P.K.,MITROVICË,219.48,323.48
Arsimi,SH.P.K.,PEJË,456.07,369.79
Aktivitetet e tjera sherbyese,Ortakëria e përgj.,GJAKOVË,558.83,337.9
Transporti dhe magazinimi,SH.P.K.,KAÇANIK,256.67,192.9
Person Fizik,Person fizik,PODUJEVË,275.34,307.38
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,433.76,379.94
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RAHOVEC,284.74,243.27
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SKENDERAJ,367.37,307.46
Aktivitetet e tjera sherbyese,OJQ,GJILAN,361.63,355.27
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,OJQ,GJAKOVË,235.13,328.22
Ndertimtaria,SH.P.K.,LEPOSAVIQ,258.25,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAÇANIK,252.4,225.56
Sherbimet administrative dhe mbeshtetese,SH.P.K.,OBILIQ,185.0,215.79
Arsimi,Ortakëria e përgj.,PRISHTINË,223.98,228.59
Industria perpunuese,Individual,ISTOG,210.09,195.39
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,DRAGASH,427.92,385.9
"Artet, Argetimi dhe rekreacioni",Individual,RAHOVEC,225.0,179.16
Aktivitetet e trupave dhe organizatave nderkombetare,OJQ,GJAKOVË,612.92,567.35
Person Fizik,Person fizik,SHTIME,281.63,277.03
Informimi dhe komunikimi,SH.P.K.,VUSHTRRI,388.16,377.61
"Aktivitetet profesionale, shkencore dhe teknike",Shoqëri akcionare,PRISHTINË,625.93,485.56
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,FERIZAJ,251.79,182.89
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,260.39,259.57
Ndertimtaria,SH.P.K.,HANI I ELEZIT,378.1,426.47
Industria nxjerrese,Individual,PRISHTINË,400.0,500.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GJAKOVË,369.23,358.24
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PRISHTINË,481.04,419.06
Transporti dhe magazinimi,SH.P.K.,PRIZREN,358.14,282.25
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,178.75,170.0
Transporti dhe magazinimi,Individual,DRAGASH,216.25,170.0
Mungon aktiviteti,OJQ,VITI,484.3,225.0
Informimi dhe komunikimi,SH.P.K.,SHTIME,363.32,356.98
Aktivitetet e tjera sherbyese,OJQ,MITROVICË VERIORE,66.67,608.09
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PRISHTINË,484.9,402.46
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Ndertimtaria,SH.P.K.,SHTIME,345.8,238.57
Ndertimtaria,Individual,GLLOGOC,314.1,218.9
Ndertimtaria,Individual,FERIZAJ,250.76,242.6
Aktivitetet e tjera sherbyese,SH.P.K.,VITI,200.0,170.0
"Artet, Argetimi dhe rekreacioni",Individual,PRISHTINË,371.76,267.11
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,DEÇAN,346.15,325.0
"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,FERIZAJ,361.71,442.56
Transporti dhe magazinimi,Individual,ISTOG,210.52,212.76
Mungon aktiviteti,Organizata Buxhetore,VUSHTRRI,92.03,245.99
Mungon aktiviteti,SH.P.K.,PRIZREN,270.0,296.44
Industria perpunuese,Ortakëria e përgj.,DEÇAN,275.0,300.0
Transporti dhe magazinimi,Shoqëri akcionare,ISTOG,237.5,112.5
Arsimi,Individual,MITROVICË,193.81,202.35
Industria perpunuese,Kompani e huaj,GJILAN,52.63,74.56
Mungon aktiviteti,OJQ,PEJË,589.48,355.41
Industria nxjerrese,SH.P.K.,PRISHTINË,546.91,506.6
Sherbimet administrative dhe mbeshtetese,Individual,VITI,211.0,170.0
Ndertimtaria,SH.P.K.,HANI I ELEZIT,468.12,464.71
Aktivitetet e tjera sherbyese,SH.P.K.,GJAKOVË,271.47,211.67
Akomodimi dhe sherbimi ushqimor,Individual,PEJË,208.58,207.43
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,DRAGASH,475.0,300.0
Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,188.43,200.94
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PRIZREN,214.34,180.0
Aktivitetet e tjera sherbyese,SH.P.K.,LIPJAN,192.0,170.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,SHTËRPCË,170.0,150.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,FERIZAJ,729.01,370.99
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,178.57,182.94
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,462.5,440.04
"Artet, Argetimi dhe rekreacioni",Individual,GJILAN,160.0,185.0
Aktivitetet e trupave dhe organizatave nderkombetare,Agjension i Huaj Qeveritar,PEJË,730.83,659.53
Industria perpunuese,SH.P.K.,NOVOBËRDË,228.85,212.86
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,379.0,314.05
Industria nxjerrese,SH.P.K.,KLLOKOT,320.68,300.0
Mungon aktiviteti,Organizata Buxhetore,GJILAN,375.32,351.2
Arsimi,SH.P.K.,MITROVICË,208.82,218.66
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SHTIME,525.21,397.27
Industria perpunuese,SH.P.K.,PODUJEVË,321.46,253.99
Transporti dhe magazinimi,SH.P.K.,OBILIQ,200.0,200.0
Arsimi,Individual,SKENDERAJ,160.0,202.66
Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,237.37,222.88
Sherbimet administrative dhe mbeshtetese,Individual,ISTOG,400.0,182.89
Informimi dhe komunikimi,Individual,MAMUSHË,280.0,280.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DEÇAN,321.68,303.07
Aktivitetet e patundshmerise,SH.P.K.,GJILAN,311.59,205.0
Ndertimtaria,Individual,FUSHË KOSOVË,313.94,339.82
Transporti dhe magazinimi,Individual,NOVOBËRDË,200.0,300.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJAKOVË,533.38,375.94
Informimi dhe komunikimi,Individual,GJILAN,100.0,150.0
Akomodimi dhe sherbimi ushqimor,Individual,DEÇAN,187.55,250.91
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SHTËRPCË,231.0,185.42
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRIZREN,335.75,388.24
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJAKOVË,148.33,170.0
Ndertimtaria,Individual,GLLOGOC,324.93,229.35
Bujqesia;Pylltaria dhe Peshkimi,Individual,OBILIQ,211.67,190.0
Mungon aktiviteti,OJQ,VUSHTRRI,250.97,322.38
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJILAN,505.81,538.26
Aktivitetet e tjera sherbyese,Agjension i Huaj Qeveritar,PRISHTINË,400.0,400.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MALISHEVË,416.48,360.57
Industria perpunuese,SH.P.K.,DRAGASH,652.0,464.87
Aktivitetet e shendetit te njeriut dhe te punes sociale,Shoqëri akcionare,OBILIQ,698.87,355.12
Ndertimtaria,Individual,JUNIK,243.75,225.0
Industria perpunuese,SH.P.K.,DRAGASH,491.72,450.46
Person Fizik,Person fizik,ISTOG,239.34,277.77
Akomodimi dhe sherbimi ushqimor,Individual,OBILIQ,292.55,250.9
"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,191.65,170.0
Aktivitetet e tjera sherbyese,OJQ,GJAKOVË,222.16,245.39
Ndertimtaria,SH.P.K.,DEÇAN,474.49,432.93
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,PRISHTINË,372.36,338.02
Arsimi,SH.P.K.,ISTOG,147.64,244.33
"Artet, Argetimi dhe rekreacioni",Individual,MITROVICË,253.62,202.87
"Artet, Argetimi dhe rekreacioni",Individual,KAÇANIK,200.0,366.67
Transporti dhe magazinimi,Individual,SHTIME,236.25,250.0
Aktivitetet e tjera sherbyese,OJQ,OBILIQ,368.88,194.59
Arsimi,Individual,VITI,133.68,173.65
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJILAN,592.47,291.09
Akomodimi dhe sherbimi ushqimor,SH.P.K.,DEÇAN,269.93,290.94
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLLOKOT,275.0,191.18
Aktivitetet e tjera sherbyese,OJQ,ZVEÇAN,476.19,114.29
Informimi dhe komunikimi,SH.P.K.,OBILIQ,321.67,225.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,240.36,244.7
Ndertimtaria,SH.P.K.,ISTOG,323.1,247.0
Mungon aktiviteti, Bashkësi Fetare,SKENDERAJ,457.9,100.0
Industria perpunuese,Individual,NOVOBËRDË,176.67,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,HANI I ELEZIT,201.35,297.59
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KLINË,364.19,300.0
Industria nxjerrese,SH.P.K.,GJAKOVË,335.44,274.48
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KAÇANIK,290.12,228.04
"Artet, Argetimi dhe rekreacioni",SH.P.K.,ISTOG,452.44,300.69
Industria perpunuese,Individual,JUNIK,170.0,170.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,OBILIQ,353.96,210.0
Ndertimtaria,Shoqëri akcionare,VUSHTRRI,473.07,585.47
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FERIZAJ,269.35,281.36
Ndertimtaria,Individual,KAÇANIK,198.95,186.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VITI,351.24,278.29
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GJAKOVË,150.0,200.0
Industria nxjerrese,Individual,OBILIQ,316.67,350.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJAKOVË,405.02,339.22
Industria perpunuese,SH.P.K.,PODUJEVË,322.96,248.09
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GLLOGOC,473.51,397.67
Ndertimtaria,SH.P.K.,MAMUSHË,283.75,250.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GJAKOVË,571.55,549.27
Industria perpunuese,Individual,LIPJAN,305.19,320.56
Aktivitetet e trupave dhe organizatave nderkombetare,OJQ,PRIZREN,342.85,387.29
Industria nxjerrese,SH.P.K.,KLLOKOT,253.58,300.0
Aktivitetet financiare dhe te sigurimit,Shoqëri akcionare,LIPJAN,442.56,116.96
"Artet, Argetimi dhe rekreacioni",Individual,SUHAREKË,200.0,200.0
Aktivitetet e tjera sherbyese,OJQ,DRAGASH,278.18,300.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,VITI,175.0,182.0
Person Fizik,Person fizik,SUHAREKË,299.5,300.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SKENDERAJ,279.29,200.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,LIPJAN,215.64,190.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KLINË,214.05,304.17
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,SHTIME,335.0,335.0
Aktivitetet financiare dhe te sigurimit,Individual,FUSHË KOSOVË,182.89,302.62
Arsimi,Individual,MALISHEVË,218.51,246.28
Sherbimet administrative dhe mbeshtetese,Individual,PODUJEVË,287.46,303.49
Akomodimi dhe sherbimi ushqimor,SH.P.K.,OBILIQ,280.35,240.23
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,NOVOBËRDË,168.1,164.29
Industria perpunuese,SH.P.K.,NOVOBËRDË,337.5,250.0
Arsimi,SH.P.K.,OBILIQ,481.86,630.58
Arsimi,SH.P.K.,VITI,158.0,240.14
Aktivitetet e patundshmerise,Shoqëri akcionare,GJILAN,314.96,310.4
Akomodimi dhe sherbimi ushqimor,SH.P.K.,JUNIK,194.29,300.0
Ndertimtaria,Individual,MITROVICË,301.25,316.51
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,DEÇAN,197.14,200.0
Industria perpunuese,Individual,LIPJAN,278.41,262.1
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAMENICË,263.64,250.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SHTËRPCË,188.91,182.05
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,PRISHTINË,270.0,275.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PODUJEVË,391.67,318.73
Aktivitetet e tjera sherbyese,SH.P.K.,RAHOVEC,473.41,328.15
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GRAÇANICË,362.88,558.83
Industria perpunuese,Individual,PODUJEVË,258.87,202.76
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PEJË,453.79,438.41
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,182.11,169.41
"Aktivitetet profesionale, shkencore dhe teknike",Individual,DEÇAN,246.98,277.02
Ndertimtaria,SH.P.K.,RAHOVEC,382.18,497.37
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,264.42,219.32
Mungon aktiviteti,OJQ,ZUBIN POTOK,190.48,571.43
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,RAHOVEC,340.5,244.72
Industria perpunuese,Individual,VITI,195.02,194.31
Transporti dhe magazinimi,SH.P.K.,GJAKOVË,194.28,183.38
Industria nxjerrese,SH.P.K.,GJILAN,262.64,116.96
Bujqesia;Pylltaria dhe Peshkimi,Individual,DEÇAN,185.56,180.0
Arsimi,SH.P.K.,GJAKOVË,280.71,207.54
Aktivitetet e patundshmerise,Shoqëri akcionare,GJILAN,311.41,272.5
Informimi dhe komunikimi,SH.P.K.,VITI,318.33,537.5
Akomodimi dhe sherbimi ushqimor,SH.P.K.,OBILIQ,284.85,276.4
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Transporti dhe magazinimi,SH.P.K.,JUNIK,185.0,180.0
Mungon aktiviteti,OJQ,RAHOVEC,442.6,407.95
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GRAÇANICË,569.18,245.68
Industria perpunuese,Individual,PODUJEVË,228.98,206.35
Sherbimet administrative dhe mbeshtetese,Individual,SHTIME,375.18,289.08
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MAMUSHË,210.67,224.17
Mungon aktiviteti,Organizata Buxhetore,FERIZAJ,71.25,120.0
Akomodimi dhe sherbimi ushqimor,Individual,SUHAREKË,242.77,248.99
Arsimi,SH.P.K.,GRAÇANICË,464.68,537.31
Bujqesia;Pylltaria dhe Peshkimi,Individual,DEÇAN,194.44,180.0
Informimi dhe komunikimi,SH.P.K.,VITI,320.77,525.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJILAN,291.79,215.52
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PRIZREN,368.81,299.27
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,255.83,214.58
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,391.91,354.08
Industria perpunuese,Individual,MALISHEVË,245.74,201.85
Ndertimtaria,Individual,PRISHTINË,420.87,403.54
Arsimi,Individual,OBILIQ,200.0,200.0
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJAKOVË,324.03,230.02
Industria perpunuese,SH.P.K.,SKENDERAJ,423.91,286.17
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,MITROVICË,485.63,506.94
Aktivitetet e tjera sherbyese,SH.P.K.,GJAKOVË,427.18,356.37
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PRIZREN,289.7,266.41
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,MITROVICË,705.0,429.34
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJILAN,481.57,531.92
Aktivitetet e tjera sherbyese,OJQ,PEJË,661.18,414.84
Sherbimet administrative dhe mbeshtetese,Ndërmarrje shoq.,PRISHTINË,314.29,619.05
Industria nxjerrese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,297.29,344.35
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PODUJEVË,250.0,225.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,GJILAN,115.0,184.58
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KLLOKOT,215.0,199.0
Ndertimtaria,Shoqëri akcionare,GJAKOVË,210.79,233.53
"Artet, Argetimi dhe rekreacioni",Organizata Buxhetore,PRISHTINË,438.08,500.0
Transporti dhe magazinimi,SH.P.K.,PODUJEVË,332.16,445.0
Arsimi,Ortakëria e përgj.,LIPJAN,492.25,411.26
Mungon aktiviteti,OJQ,KAMENICË,282.03,260.99
Aktivitetet e tjera sherbyese,OJQ,GJAKOVË,224.95,233.65
Mungon aktiviteti, Bashkësi Fetare,MALISHEVË,300.0,250.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,NOVOBËRDË,80.0,420.42
Sherbimet administrative dhe mbeshtetese,SH.P.K.,OBILIQ,293.33,262.11
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,SUHAREKË,348.3,287.74
Informimi dhe komunikimi,Individual,SKENDERAJ,206.67,202.5
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PRIZREN,403.51,190.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,425.88,332.53
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTIME,261.31,227.59
Arsimi,Individual,SKENDERAJ,162.0,208.98
Akomodimi dhe sherbimi ushqimor,Individual,SHTËRPCË,168.67,170.0
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GRAÇANICË,454.86,500.0
Industria nxjerrese,SH.P.K.,KAÇANIK,517.78,160.97
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje shoq.,DRAGASH,314.29,428.57
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,DEÇAN,463.03,330.04
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,342.66,257.12
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAMENICË,300.0,207.5
Aktivitetet e tjera sherbyese, Bashkësi Fetare,GJAKOVË,369.36,496.95
Transporti dhe magazinimi,SH.P.K.,OBILIQ,186.59,200.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PODUJEVË,241.64,309.49
Arsimi,SH.P.K.,VITI,180.0,248.36
"Artet, Argetimi dhe rekreacioni",Individual,LIPJAN,200.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VITI,330.22,239.74
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SUHAREKË,316.59,227.54
Bujqesia;Pylltaria dhe Peshkimi,Individual,FUSHË KOSOVË,200.0,185.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PODUJEVË,600.06,93.33
Arsimi,Individual,LIPJAN,218.87,257.12
Aktivitetet e tjera sherbyese,OJQ,FUSHË KOSOVË,265.64,119.05
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJAKOVË,349.13,375.0
Industria perpunuese,Individual,MAMUSHË,289.98,286.5
Transporti dhe magazinimi,Shoqëri akcionare,ISTOG,213.88,112.5
Transporti dhe magazinimi,Individual,DRAGASH,207.92,183.33
Ndertimtaria,Shoqëri akcionare,GJAKOVË,234.74,297.6
Aktivitetet e patundshmerise,Ndërmarrje pub.,MITROVICË,129.69,100.0
Informimi dhe komunikimi,SH.P.K.,GLLOGOC,663.75,383.56
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MAMUSHË,224.5,200.0
Mungon aktiviteti,Kompani e huaj,PEJË,365.22,307.14
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,329.41,268.89
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,FUSHË KOSOVË,214.33,158.15
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FUSHË KOSOVË,295.01,202.74
Transporti dhe magazinimi,Ortakëria e përgj.,DRAGASH,200.0,190.0
Industria nxjerrese,Individual,PRISHTINË,375.0,400.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,DEÇAN,277.37,250.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAÇANIK,170.0,170.0
Akomodimi dhe sherbimi ushqimor,Shoqëri akcionare,OBILIQ,120.0,120.0
Aktivitetet e tjera sherbyese,OJQ,FUSHË KOSOVË,301.09,517.01
Arsimi,OJQ,GJAKOVË,254.8,248.47
Ndertimtaria,Individual,DRAGASH,261.99,254.23
Arsimi,Individual,PODUJEVË,194.78,163.18
Aktivitetet e tjera sherbyese,OJQ,GRAÇANICË,301.91,224.89
Ndertimtaria,SH.P.K.,MITROVICË VERIORE,307.82,250.0
